α	Alpha	alpha, the first letter of the Greek alphabet.
ἆ	ah!	interj., expressing surprise, indignation, fear (in cl. chiefly in poët.), ah! ha! : Luk.4:34. † (AS)
Ἀαρών	Aaron	Aaron ( Exo.4:14, al.): Luk.1:5, Act.7:40, Heb.5:4, 7:11, 9:4.† (AS)
Ἀβαδδών	Abaddon	in NT, Abaddon, the angel of the Abyss: Rev.9:11. † (AS)
ἀβαρής	not burdensome	(βαρός), without weight; metaphorically (MM, VGT, see word) not burdensome : 2Co.11:9. † (AS)
ἀββά	Abba	used in the phrase Ἀ. ὁ παήρ, Abba, Father (see Swete on Mk, I.with): Mrk.14:36, Rom.8:15, Gal.4:6.† (AS)
Ἄβελ	Abel	(הֶבֶל), Abel ( Gen.4:2-10 ): Heb.11:4, 12:24; αἵμα Ἄ., Mat.23:35, Luk.11:51.† (AS)
Ἀβιά	Abijah	Abia, Abijah.
Ἀβιαθάρ	Abiathar	Abiathar ( 1Ki.21:1 ): Mrk.2:26.† (AS)
Ἀβιληνή	Abilene	Abilene, a district in the Anti-Lebanon : Luk.3:1. † (AS)
Ἀβιούδ	Abiud	Abiud, Abihud : Mat.1:13. † (AS)
Ἀβραάμ	Abraham	Abraham ( Gen.17:5 al.): Mat.1:1, 2 al. (AS)
ἄβυσσος	abyss	in cl., boundless, bottomless (e.g. ἄ. πέλαγος, ἄ. πλοῦτος Æsch.). NT, as subst. (MM, VGT, see word), ἡ ἄ. (sc. χώρα), the abyss; of the sea ( Gen.1:2 ); of the underworld, as the abode of the dead :
Ἄγαβος	Agabus	Agabus : Act.11:28, 21:10.† (AS)
ἀγαθοεργέω	to do good	to do good, show kindness : 1 Ti 6:18 (Cremer, 8).† ἀγαθουργέω, -ῶ, contracted form (rare, see WH, App., 145) of ἀγαθοερ- (which see), to do good : Act.14:17. † (AS)
ἀγαθοποιέω	to do good	to do good; univ.: 1Pe.2:15, 20, 3:6, 17, 3 Jo.11; for another's benefit : Mrk.3:4 (T, ἀγαθὸν ποιῆσαι), Luk.6:9; __(with) accusative of person(s), Luk.6:33, 35 (Cremer, 8). † (AS)
ἀγαθοποιΐα	doing good	(ἀγαθοποιός), well-doing : 1Pe.4:19. † (AS)
ἀγαθοποιός	doing good	doing well, acting rightly (Plut.): 1Pe.2:14 (Cremer, 8; MM, VGT, see word).† (AS)
ἀγαθός	good	in general, good, in physical and in moral sense, used of persons, things, acts, conditions, etc., applied to that which is regarded as "perfect in its kind, so as to produce pleasure and
ἀγαθωσύνη	goodness	(ἀγαθός), goodness (representing "the kindlier, as δικαιοσύνη, the sterner element in the ideal character," AE, Eph., 5:9; on its relation to χρηστότης, see Tr., Syn., §lxiii): Rom.15:14, Gal.5:22,
ἀγαλλίασις	joy	(ἀγαλλιάω), exultation, exuberant joy : Luk.1:44, Act.2:46, Heb.1:9, Ju 24; χαρὰ καὶ ἀ., Luk.1:14 (Cremer, 592).† (AS)
ἀγαλλιάω	to rejoice	to exult, rejoice greatly : before ἐπί, with dative, Luk.1:47; with dative mod., 1Pe.1:8, Rev.19:7. Mid., with same sense: Mat.5:12, Luk.10:21, Act.2:26, 16:34, 1Pe.4:13; before ἵνα, Jhn.8:56; ἐν,
ἄγαμος	unmarried	unmarried : 1Co.7:8, 32; fem. (= cl. ἄνανδρος), ib. 11, 34.† (AS)
ἀγανακτέω	be indignant	to be indignant : Mat.21:15, 26:8, Mrk.10:14, 14:4; before περί, Mat.20:24, Mrk.10:41; before ὅτι, Luk.13:14 (see MM, VGT, see word).† (AS)
ἀγανάκτησις	indignation	(ἀγανακτέω), indignation : 2Co.7:11 (see MM, VGT, see word).† (AS)
ἀγαπάω	to love	to love, to feel and exhibit esteem and goodwill to a person, to prize and delight in a thing.
ἀγάπη	love	love, goodwill, esteem.
ἀγαπητός	beloved	(ἀγαπάω), beloved (see M, Pr., 221); by God : of Christ, Mat.3:17; of men, Rom.1:7; by Christians, of one another : 1Co.4:14; frequently as form of address, ib. 10:14; opposite to ἐχθρός, Rom.11:28
Ἄγαρ	Hagar	Hagar (Gen.16): Gal.4:24,25.† (AS)
ἀγγαρεύω	to force	to impress into public service, employ a courier; hence, to compel to perform a service (prob. common in the vernac.; cf.
ἀγγεῖον	jar	(ἄγγος), a vessel (see MM, VGT, see word): Mat.25:4. † (AS)
ἀγγελία	message	(ἄγγελος), a message : 1Jo.1:5, 3:11 ( Cremer, 18; MM, VGT, see word).† (AS)
ἄγγελος	angel	a messenger, one sent : Mat.11:10, Jas.22:25. As in LXX, in the special sense of angel, a spiritual, heavenly being, attendant upon God and employed as his messenger to men, to make known his
ἄγε	to lead	come! used as adv. and addressed, like φέρε, to one or more persons : Jas.4:13, 5:1.† (AS)
ἀγέλη	herd	(ἄγω), a herd : Mat.8:30-32, Mrk.5:11, 13, Luk.8:32,33.† (AS)
ἀγενεαλόγητος	without genealogy	(γενεαλογέω), without genealogy, i.e. without recorded pedigree (cf.
ἀγενής	lowly	(γένος), unborn (Plat.); of no family, ignoble, base (opposite to ἀγαθός, Soph., Fr., 105): opposite to εὐγενής, 1Co.1:28 (for exx. from π., see MM, VGT, see word). † (AS)
ἁγιάζω	to sanctify	(ἅγιος), to make holy, consecrate, sanctify; to dedicate, separate, set apart for God; of things: Mat.23:17,19, 2Ti.2:21; of persons: Christ, Jhn.10:36, 17:19. to purify, make conformable in
ἁγιασμός	holiness	(ἁγιάζω), as an active verbal noun in -μός, it signifies properly the process τὸ ἁγιάζειν, rather than the resultant state, ἁγιωσύνη, hence, consecration; sanctification : so strictly in Rom.6:19,22
ἅγιον	Holy Place	(τό ἅγός, religious awe; ἅζω, to venerate ), primarily, dedicated to the gods, sacred (Hdt.; rare in Att., never in Hom., Hes. and Trag., who use ἁγνός), hence, holy, characteristic of God, separated
ἅγιος	holy	(τό ἅγός, religious awe; ἅζω, to venerate ), primarily, dedicated to the gods, sacred (Hdt.; rare in Att., never in Hom., Hes. and Trag., who use ἁγνός), hence, holy, characteristic of God, separated
ἁγιότης	holiness	(ἅγιος), sanctity, holiness, regarded, properly, as an abstract quality (see next word, and cf.
ἁγιωσύνη	holiness	(ἅγιος), holiness, the state in man resulting from ἁγιασμός, which see: Rom.1:4, 2Co.7:1, 1Th.3:13 (Cremer, 52; MM, VGT, see word).† (AS)
ἀγκάλη	arm	(ἄγκος, a bend ), the bent arm : Luk.2:28 (cf. ἐναγκαλίζομαι).† (AS)
ἄγκιστρον	fishhook	(ἄγκος, a bend), a fish-hook : Mat.17:27. † (AS)
ἄγκυρα	anchor	an anchor : Act.27:29, 30 40; figuratively (MM, VGT, see word), Heb.6:19. † (AS)
ἄγναφος	unshrunk	uncarded, undressed, i.e. new (MM, VGT, see word): Mat.92:6, Mrk.2:21.† (AS)
ἁγνεία	purity	purity : 1Ti.4:12, 5:2 (Cremer, 58. For exx. of ceremonial use in π., see MM, Exp., iv).† (AS)
ἁγνίζω	to purify	to purify, cleanse from defilement; ceremonially : Jhn.11:55, Act.21:24, 26 24:18; morally : Jas.4:8, 1Pe.1:22, 1Jn.3:3. † SYN. : καθαρίζω, which see (and see: ἁγνός). (AS)
ἁγνισμός	purification	purification : in ceremonial sense, Act.21:26 (LXX).† (AS)
ἀγνοέω	be ignorant	to be ignorant, not to know : absol., Ι Ti 1:13, Heb.5:2; with accusative, Act.13:27 17:23, Rom.10:3, 2Co.2:11; ἐν οἷς, 2Pe.2:12; before ὅτι, Rom.2:4 6:3 7:1, 1Co.14:38; οὐ θέλω ὑμᾶς ἀγνοεῖν, a
ἀγνόημα	error	(ἀγνοέω), a sin of ignorance (so in π.; see MM, VGT, see word): Heb.9:7. † (AS)
ἄγνοια	ignorance	(ἀγνοέω), ignorance : Act.3:17 17:30, Eph.4:18 (with sense of wilful blindness; cf.
ἁγνός	pure	(ἅγος, see: ἅγιος), free from ceremonial defilement, in a condition prepared for worship (for exx. of pagan usage, V. MM, VGT, see word). holy, sacred, venerable (II Mac, l.with). As in OT (cl.),
ἁγνότης	purity	(ἁγνός), purity, chastity (cf. ἁγιότης): 2Co.6:6 11:3.† (AS)
ἁγνῶς	purely	(ἁγνός), adv., purely, with pure motives : Php.1:17. † (AS)
ἀγνωσία	ignorance	(γινώσκω), ignorance (opposite to γνῶσις): 1Co.15:34, 1Pe.2:15 (see Hort in l.; MM, VGT, see word).† (AS)
ἄγνωστος	unknown	(γινώσκω), unknown : Act.17:23 (cf.
ἀγορά	marketplace	an assembly (Hom., Xen., al.). a place of assembly, a public place or forum, a market-place (Hom., Thuc, al.; LXX): Mat.11:16 20:2 23:7, Mrk.6:56 (cf.
ἀγοράζω	to buy	(ἀγορά), to frequent the ἀγορά (Hdt., al.). to buy in the market, purchase (Xen., al.; LXX; in π. very common in deeds of sale, see MM, VGT, see word): absol., Mat.21:12, Mrk.11:15; with accusative
ἀγοραῖος	of the marketplace	(ἀγορά), frequenting the ἀγορά, a lounger in the ἀγορά (Xen., al.): Act.17:5. In late writers (Strab., al.), proper to the ἀγορά : ἀγοραῖοι (sc. ἥμεραι) ἀγονται (cf.
ἄγρα	catch	(ἄγω), the chase, a hunting or catching : Luk.5:4. that which is taken, a catch : of fish, Luk.5:9. † (AS)
ἀγράμματος	unschooled	(ἀγραυλος, dwelling in the field; ἀγρός, αὐλή), to live in the fields : Luk.2:8. † (AS)
ἀγραυλέω	to live outside	to dwell in the field, (New Testament) (ML)
ἀγρεύω	to catch	to catch or take by hunting or fishing; metaphorically, Mrk.12:13. † (AS)
ἀγριέλαιος	wild olive tree	of the wild olive (Anth.). As subst., the wild olive : Rom.11:17, 24 ( CGT, in 1.; MM, VGT, see word). † (AS)
ἄγριος	wild	(ἀγρός), living in fields, wild : μέλι. Mat.3:4, Mrk.1:6. savage, fierce : Ju 13. (Cf. usage in π. of a malignant wound; MM, VGT, see word) † (AS)
Ἀγρίππας	Agrippa	Agrippa (II): Act.25:13, 22, 23, 24, 26 26:1, 2, 19, 27, 28, 32. (For Agrippa I, see: Ἡρῴδης, 3.) † (AS)
ἀγρός	Field of	a field : Mat.6:28, al. the country : Mrk.15:21, al.; pl., country places, farms : Mrk.5:14 6:36 56, Luk.8:34 9:12. = χωρίον a piece of ground : Mrk.10:29, Act.4:27, al. (On the occurrence of this
ἀγρυπνέω	be watchful	to be sleepless, wakeful (Theogn., Xen., al.); metaphorically (LXX) = cl. ἐγρήγορα, to be watchful, vigilant : Mrk.13:33, Luk.21:36, Eph.6:18, Heb.13:17.† SYN. : γρηγορέω, which see; νήφω, associated
ἀγρυπνία	sleeplessness	sleeplessness, watching : 2Co.6:5 11:27. (Plat., Hdt.; for exx. in π., see MM, VGT, see word) † (AS)
ἄγω	to bring	to lead, bring, carry : with ace, before ἐπί, εἰς, ἕως, πρός and simple dative; metaphorically, to lead, guide, impel : Jhn.10:16 Rom.2:4, Heb.2:10, 2Ti.3:6, al. to spend or keep a day: Luk.24:21,
ἀγωγή	self-conduct	(ἄγω), a carrying away. a leading, guiding; metaphorically, training; hence, from the expression ἀ. τοῦ βίου, absol., conduct, way of life : 2Ti.3:10 (Cremer, 61; MM, VGT, see word). † (AS)
ἀγών	fight	(ἄγω), a gathering, esp. for games. a place of assembly. a contest, struggle, trial; metaphorically (MM, VGT, see word), of the Christian life as a contest and struggle : Php.1:30, 1Th.2:2, 1Ti.6:12,
ἀγωνία	a struggle	(ἀγών), a contest, wrestling (Eur., Xen.). Of the mind, great fear, agony, anguish (Dem., Arist.): Luk.22:44 (cf.
ἀγωνίζομαι	to struggle	(ἀγών), to contend for a prize : 1Co.9:25, to fight, struggle, strive : Jhn.18:36; metaphorically (MM, VGT, see word). Col.1:29 4:12, 1Ti.4:10 6:12, 2Ti.4:7; with inf. (Field, Notes, 66), Luk.13:24
Ἀδάμ	Adam	Adam : Luk.3:38, Rom.5:14, 1Co.15:22,45, 1Ti.2:13,14 Ju 14. Christ ὁ ἔσχατος Ἀ., 1Co.15:45. † (AS)
