βίβλος	βίβλος	N-	----NSF-
γενέσεως	γένεσις	N-	----GSF-
Ἰησοῦ	Ἰησοῦς	N-	----GSM-
Χριστοῦ	Χριστός	N-	----GSM-
υἱοῦ	υἱός	N-	----GSM-
Δαυίδ	Δαυίδ	N-	----GSM-
υἱοῦ	υἱός	N-	----GSM-
Ἀβραάμ	Ἀβραάμ	N-	----GSM-
Ἀβραάμ	Ἀβραάμ	N-	----NSM-
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Ἰσαάκ	Ἰσαάκ	N-	----ASM-
Ἰσαάκ	Ἰσαάκ	N-	----NSM-
δέ	δέ	C-	--------
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Ἰακώβ	Ἰακώβ	N-	----ASM-
Ἰακώβ	Ἰακώβ	N-	----NSM-
δέ	δέ	C-	--------
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Ἰούδαν	Ἰούδας	N-	----ASM-
καί	καί	C-	--------
τούς	ὁ	RA	----APM-
ἀδελφούς	ἀδελφός	N-	----APM-
αὐτοῦ	αὐτός	RP	----GSM-
Ἰούδας	Ἰούδας	N-	----NSM-
δέ	δέ	C-	--------
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Φαρές	Φαρές	N-	----ASM-
καί	καί	C-	--------
τόν	ὁ	RA	----ASM-
Ζάρα	Ζάρα	N-	----ASM-
ἐκ	ἐκ	P-	--------
τῆς	ὁ	RA	----GSF-
Θαμάρ	Θαμάρ	N-	----GSF-
Φαρές	Φαρές	N-	----NSM-
δέ	δέ	C-	--------
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Ἑσρώμ	Ἑσρώμ	N-	----ASM-
Ἑσρώμ	Ἑσρώμ	N-	----NSM-
δέ	δέ	C-	--------
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Ἀράμ	Ἀράμ	N-	----ASM-
Ἀράμ	Ἀράμ	N-	----NSM-
δέ	δέ	C-	--------
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Ἀμιναδάβ	Ἀμιναδάβ	N-	----ASM-
Ἀμιναδάβ	Ἀμιναδάβ	N-	----NSM-
δέ	δέ	C-	--------
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Ναασσών	Ναασσών	N-	----ASM-
Ναασσών	Ναασσών	N-	----NSM-
δέ	δέ	C-	--------
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Σαλμών	Σαλμών	N-	----ASM-
Σαλμών	Σαλμών	N-	----NSM-
δέ	δέ	C-	--------
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Βόες	Βόες	N-	----ASM-
ἐκ	ἐκ	P-	--------
τῆς	ὁ	RA	----GSF-
Ῥαχάβ	Ῥαχάβ	N-	----GSF-
Βόες	Βόες	N-	----NSM-
δέ	δέ	C-	--------
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Ἰωβήδ	Ἰωβήδ	N-	----ASM-
ἐκ	ἐκ	P-	--------
τῆς	ὁ	RA	----GSF-
Ῥούθ	Ῥούθ	N-	----GSF-
Ἰωβήδ	Ἰωβήδ	N-	----NSM-
δέ	δέ	C-	--------
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Ἰεσσαί	Ἰεσσαί	N-	----ASM-
Ἰεσσαί	Ἰεσσαί	N-	----NSM-
δέ	δέ	C-	--------
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Δαυίδ	Δαυίδ	N-	----ASM-
τόν	ὁ	RA	----ASM-
βασιλέα	βασιλεύς	N-	----ASM-
Δαυίδ	Δαυίδ	N-	----NSM-
δέ	δέ	C-	--------
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Σολομῶνα	Σολομών	N-	----ASM-
ἐκ	ἐκ	P-	--------
τῆς	ὁ	RA	----GSF-
τοῦ	ὁ	RA	----GSM-
Οὐρίου	Οὐρίας	N-	----GSM-
Σολομών	Σολομών	N-	----NSM-
δέ	δέ	C-	--------
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Ῥοβοάμ	Ῥοβοάμ	N-	----ASM-
Ῥοβοάμ	Ῥοβοάμ	N-	----NSM-
δέ	δέ	C-	--------
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Ἀβιά	Ἀβιά	N-	----ASM-
Ἀβιά	Ἀβιά	N-	----NSM-
δέ	δέ	C-	--------
ἐγέννησε(ν)	γεννάω	V-	3AAI-S--
τόν	ὁ	RA	----ASM-
Ἀσάφ	Ἀσάφ	N-	----ASM-
Ἀσάφ	Ἀσάφ	N-	----NSM-
δέ	δέ	C-	--------
